OpenTime;Type;Volume;Symbol;OpenPrice;S/L;T/P;CloseTime;ClosePrice;Commission;Swap;Profit;Comment
2021.02.11 02:05:01;Buy Stop;0.01;USDCHF.;0.89346;;;2021.02.11 07:05:52;0.88966;;;;cancelled
2021.02.10 00:05:01;Sell Stop;0.01;EURNZD.;1.67533;;;2021.02.11 07:05:51;1.67685;;;;cancelled
2021.02.10 00:05:01;Buy Stop;0.01;EURCHF.;1.08092;;;2021.02.11 07:05:50;1.07942;;;;cancelled
2021.02.11 04:12:00;Buy;0.01;NZDUSD.;0.72248;;;2021.02.11 07:05:49;0.72328;;;0.80;
2021.02.09 00:33:16;Buy;0.01;EURUSD.;1.20573;;;2021.02.09 02:16:29;1.20707;;;1.34;
2021.02.09 00:05:01;Sell Stop;0.01;AUDUSD.;0.76966;;;2021.02.09 02:16:28;0.77206;;;;cancelled
2021.02.05 16:42:49;Buy;0.01;EURGBP.;0.87681;;;2021.02.08 13:45:44;0.87867;;;2.55;
2021.02.05 00:29:19;Sell;0.01;EURNZD.;1.67107;;;2021.02.08 13:45:43;1.67317;;;-1.52;
2021.02.04 00:08:32;Buy;0.01;GBPUSD.;1.36428;;;2021.02.04 12:05:29;1.36246;;;-1.82;
2021.02.04 03:13:34;Sell;0.01;NZDUSD.;0.72054;;;2021.02.04 12:05:29;0.71808;;;2.46;
2021.02.03 01:19:48;Sell;0.01;EURGBP.;0.88065;;;2021.02.03 15:50:36;0.88028;;;0.50;
2021.02.03 00:05:01;Buy Stop;0.01;EURNZD.;1.67382;;;2021.02.03 15:50:36;1.67057;;;;cancelled
2021.02.02 01:16:40;Sell;0.01;EURCAD.;1.54978;;;2021.02.02 12:09:28;1.54107;;;6.80;
2021.02.02 00:05:00;Buy Stop;0.01;EURUSD.;1.20758;;;2021.02.02 12:09:27;1.20322;;;;cancelled
2021.02.01 00:05:01;Buy Stop;0.01;USDCAD.;1.27977;;;2021.02.01 07:07:00;1.27704;;;;cancelled
2021.02.01 01:23:19;Buy;0.01;AUDUSD.;0.76449;;;2021.02.01 07:06:59;0.76528;;;0.79;
2021.01.29 00:05:03;Buy Stop;0.01;EURAUD.;1.58297;;;2021.01.29 00:32:12;1.57968;;;;cancelled
2021.01.29 00:23:54;Sell;0.01;EURUSD.;1.21177;;;2021.01.29 00:32:11;1.21119;;;0.58;
2021.01.28 00:05:00;Sell Stop;0.01;EURNZD.;1.69289;;;2021.01.28 14:10:59;1.69708;;;;cancelled
2021.01.28 10:45:22;Buy;0.01;EURUSD.;1.21150;;;2021.01.28 14:10:59;1.21281;;;1.31;
2021.01.27 01:05:02;Buy Stop;0.01;EURGBP.;0.88514;;;2021.01.27 08:23:24;0.88444;;;;cancelled
2021.01.27 03:12:01;Sell;0.01;EURUSD.;1.21549;;;2021.01.27 08:23:23;1.21491;;;0.58;
2021.01.26 09:03:19;Sell;0.01;EURCAD.;1.54681;;;2021.01.26 13:28:59;1.54446;;;1.85;
2021.01.26 08:49:25;Buy;0.01;EURJPY.;125.949;;;2021.01.26 13:28:59;125.894;;;-0.53;
2021.01.25 04:14:53;Sell;0.01;EURUSD.;1.21760;;;2021.01.25 10:59:29;1.21592;;;1.68;
2021.01.25 04:05:58;Buy Stop;0.01;EURNZD.;1.69070;;;2021.01.25 10:59:29;1.68575;;;;cancelled
2021.01.22 00:05:00;Sell Stop;0.01;EURCAD.;1.53934;;;2021.01.22 16:29:32;1.54926;;;;cancelled
2021.01.22 00:12:47;Buy;0.01;EURCHF.;1.07733;;;2021.01.22 16:29:31;1.07785;;;0.58;
2021.01.18 03:38:12;Sell;0.01;EURNZD.;1.69298;;;2021.01.20 23:50:21;1.68665;;;4.55;
2021.01.19 02:44:23;Buy;0.01;EURJPY.;125.737;;;2021.01.20 23:50:21;125.443;;;-2.84;
2021.01.14 00:40:10;Sell;0.01;EURNZD.;1.69118;;;2021.01.14 03:26:31;1.69045;;;0.52;
2021.01.14 00:05:00;Buy Stop;0.01;EURCAD.;1.54681;;;2021.01.14 03:26:31;1.54193;;;;cancelled
2021.01.11 10:46:39;Buy;0.01;EURCHF.;1.08310;;;2021.01.12 19:38:39;1.08208;;;-1.15;
2021.01.11 10:26:04;Sell;0.01;EURNZD.;1.69079;;;2021.01.12 19:38:38;1.69077;;;0.01;
2021.01.12 18:28:28;Buy;0.01;EURUSD.;1.21809;;;2021.01.12 19:38:37;1.22026;;;2.17;
2021.01.12 10:08:27;Sell;0.01;EURNZD.;1.69082;;;2021.01.12 19:38:36;1.69081;;;0.01;
2021.01.08 02:17:52;Sell;0.01;EURJPY.;127.240;;;2021.01.08 09:08:31;127.176;;;0.61;
2021.01.08 00:05:00;Buy Stop;0.01;EURUSD.;1.22791;;;2021.01.08 09:08:31;1.22249;;;;cancelled
2021.01.07 00:05:01;Sell Stop;0.01;EURJPY.;126.755;;;2021.01.07 01:53:56;127.063;;;;cancelled
2021.01.07 01:26:26;Buy;0.01;EURAUD.;1.58113;;;2021.01.07 01:53:56;1.58181;;;0.53;
2021.01.06 02:12:23;Sell;0.01;EURUSD.;1.23006;;;2021.01.06 02:25:44;1.22948;;;0.58;
2021.01.06 00:05:06;Buy Stop;0.01;EURNZD.;1.69954;;;2021.01.06 02:25:44;1.69524;;;;cancelled
